Nro;Ubicacion;Rotulado;Descripcion;Marca;Modelo;Matricula Nro;Motor Nro;Chassis Nro;RASP;"Modelo
Año";Valor;Estado;"Fecha
Incorporacion"
233;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0178;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 698;1HZ-0848231;JTERB71J100084360;C-0010165;2016;237,193,000;Regular;16/6/2016
234;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0177;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 697;1HZ-0848215;JTERB71J600084354;C-0010169;2016;237,193,000;Bueno;16/6/2016
235;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0176;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 707;1HZ-0848189;JTERB71J600084337;C-0010167;2016;237,193,000;Regular;16/6/2016
236;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0175;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 727;1HZ-0848154;JTERB71J400084336;C-0010168;2016;237,193,000;Regular;16/6/2016
237;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0174;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 730;1HZ-0848145;JTERB71J800084324;C-0010149;2016;237,193,000;Bueno;16/6/2016
238;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0173;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 726;1HZ-0848144;JTERB71J400084319;C-0010158;2016;237,193,000;Bueno;16/6/2016
239;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0172;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 693;1HZ-0848126;JTERB71J200084318;C-0010189;2016;237,193,000;Bueno;16/6/2016
240;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0171;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 716;1HZ-0848073;JTERB71J900084316;C-0010153;2016;237,193,000;Muy Bueno;16/6/2016
241;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0170;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 695;1HZ-0848009;JTERB71J600084306;C-0010179;2016;237,193,000;Bueno;16/6/2016
242;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0169;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 719;1HZ-0848000;JTERB71J400084305;C-0010186;2016;237,193,000;Bueno;16/6/2016
243;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0168;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 731;1HZ-0847954;JTERB71J600084290;C-0010172;2016;237,193,000;Malo;16/6/2016
244;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0167;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 722;1HZ-0847895;JTERB71J800084288;C-0010175;2016;237,193,000;Bueno;16/6/2016
245;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0166;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 724;1HZ-0847885;JTERB71J100084276;C-0010152;2016;237,193,000;Muy Bueno;16/6/2016
246;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0164;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 721;1HZ-0847630;JTERB71J400084224;C-0010190;2016;237,193,000;Regular;16/6/2016
247;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0163;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 728;1HZ-0847541;JTERB71J600084211;C-0010183;2016;237,193,000;Muy Bueno;16/6/2016
248;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0162;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAK 001;847869;JTERB71J200084268;C-0010184;2016;237,193,000;Regular;16/6/2016
249;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0161;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 718;1HZ-0847770;JTERB71J900084266;C-0010148;2016;237,193,000;Bueno;16/6/2016
250;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0160;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 702;847627;JTERB71J000084222;C-0010155;2016;237,193,000;Bueno;16/6/2016
251;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0158;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 694;1HZ-0847658;JTERB71J500084250;C-0010144;2016;237,193,000;Muy Bueno;16/6/2016
252;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0157;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 729;1HZ-0847508;JTERB71J900084221;C-0010180;2016;237,193,000;Bueno;16/6/2016
253;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0155;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 704;1HZ-0847452;JTERB71J600084208;C-0010171;2016;237,193,000;Regular;16/6/2016
254;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0154;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;CEN 403;1HZ-0847543;JTERB71J400084210;C-0010173;2016;237,193,000;Muy Bueno;16/6/2016
255;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0153;AMBULANCIA;TOYOTA;LAND CRUISER HARD TOP;EAJ 709;1HZ-0847447;JTERB71J000084205;C-0010166;2016;237,193,000;Regular;16/6/2016
256;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-01-0151;AMBULANCIA;MERCEDES BENZ;SPRINTER 413 CDI/F4025;EAE 938;6.11982E+13;8AC9046639E015764;C-0010242;2009;255,900,000;Muy Bueno;22/7/2009
257;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-01-0150;AMBULANCIA;MERCEDES BENZ;SPRINTER 413 CDI/F4025;EAE 934;6.11982E+13;8AC9046639E015863;C-0008217;2009;255,900,000;Regular;22/7/2009
258;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0102;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 317;780666;JTGRB71J8E7017616;C-0010129;2014;187,901,800;Malo;19/1/2015
259;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0101;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 320;781445;JTGRB71J2E7017711;C-0010140;2014;187,901,800;Inutilizado;19/1/2015
260;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-03-27-0088;AMBULANCIA;RENAULT;KANGO;EAH 106;K9KA700D185364;8A1FCG715CL994723;C-0008213;2012;122,852,600;Muy Bueno;22/8/2012
261;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0050;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 274;781554;JTGRB71J6E7017727;C-0010106;2014;187,901,800;Inutilizado;19/1/2015
262;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0049;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 287;781556;JTGRB71J8E7017728;C-0010093;2014;187,901,800;Regular;19/1/2015
263;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0048;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 275;781559;JTGRB71J6E7017730;C-0010119;2014;187,901,800;Inutilizado;19/1/2015
264;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0047;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 278;784183;JTGRB71J5E7018027;C-0010098;2014;187,901,800;Bueno;19/1/2015
265;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0046;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 279;784262;JTGRB71JXE7018038;C-0010105;2014;187,901,800;Bueno;19/1/2015
266;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0045;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 288;785723;JTGRB71J5E7018254;C-0010120;2014;187,901,800;Bueno;19/1/2015
267;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0044;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 285;786709;JTGRB71J2E7018342;C-0010096;2014;187,901,800;Muy Bueno;19/1/2015
268;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0043;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 289;786716;JTGRB71J4E7018343;C-0010099;2014;187,901,800;Bueno;19/1/2015
269;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0042;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 290;786816;JTGRB71J5E7018352;C-0010109;2014;187,901,800;Muy Bueno;19/1/2015
270;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0041;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 283;787642;JTGRB71J4E7018424;C-0010103;2014;187,901,800;Bueno;19/1/2015
271;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0040;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 282;788684;JTGRB71J8E7018510;C-0010104;2014;187,901,800;Bueno;19/1/2015
272;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0039;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 284;788700;JTGRB71J1E7018512;C-0010100;2014;187,901,800;Bueno;19/1/2015
273;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0038;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 286;788727;JTGRB71J5E7018514;C-0010107;2014;187,901,800;Regular;19/1/2015
274;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0037;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 277;789040;JTGRB71J8E7018541;C-0010126;2014;187,901,800;Regular;19/1/2015
275;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0036;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 276;789051;JTGRB71JXE7018542;C-0010101;2014;187,901,800;Bueno;19/1/2015
276;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0034;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 280;789082;JTGRB71J3E7018544;C-0010097;2014;187,901,800;Bueno;19/1/2015
277;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0033;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 291;789087;JTGRB71J5E7018545;C-0010122;2014;187,901,800;Regular;19/1/2015
278;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0032;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 303;785716;JTGRB71JXE7018251;C-0010092;2014;187,901,800;Bueno;19/1/2015
279;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0031;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 359;785721;JTGRB71J3E7018253;C-0010141;2014;187,901,800;Muy Bueno;19/1/2015
280;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0030;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 300;785736;JTGRB71J0E7018257;C-0010123;2014;187,901,800;Regular;19/1/2015
281;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0029;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 301;786693;JTGRB71J0E7018341;C-0010127;2014;187,901,800;Bueno;19/1/2015
282;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0028;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 322;788664;JTGRB71J8E7018507;C-0010132;2014;187,901,800;Bueno;19/1/2015
283;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0026;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 302;788719;JTGRB71J3E7018513;C-0010124;2014;187,901,800;Regular;19/1/2015
284;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0024;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 304;782072;JTGRB71J2E7017790;C-0010102;2014;187,901,800;Inutilizado;19/1/2015
285;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0023;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 309;781926;JTGRB71J1E7017778;C-0010138;2014;187,901,800;Bueno;19/1/2015
286;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0022;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 308;781122;JTGRB71J3E7017667;C-0010121;2014;187,901,800;Bueno;19/1/2015
287;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0020;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 318;781108;JTGRB71JXE7017665;C-0010125;2014;187,901,800;Bueno;19/1/2015
288;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);12008-310-03-0019;AMBULANCIA;HYUNDAI;H-1;AABB 587;D4BHH000817;KMFWBX7HAJU894013;C-0011016;2018;206,550,000;Regular;29/11/2018
289;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0018;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 319;780665;JTGRB71J6E7017615;C-0010108;2014;187,901,800;Regular;19/1/2015
290;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0017;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 346;779953;JTGRB71J8E7017535;C-0010143;2014;187,901,800;Bueno;19/1/2015
291;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0015;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 305;779933;JTGRB71J4E7017533;C-0010131;2014;187,901,800;Bueno;19/1/2015
292;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0014;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 327;779926;JTGRB71J2E7017532;C-0010118;2014;187,901,800;Bueno;19/1/2015
293;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0013;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 313;782506;JTGRB71J3E7017829;C-0010142;2014;187,901,800;Malo;19/1/2015
294;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0012;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 321;782458;JTGRB71JXE7017830;C-0010128;2014;187,901,800;Bueno;19/1/2015
295;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0011;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 325;782668;JTGRB71J8E7017843;C-0010090;2014;187,901,800;Regular;19/1/2015
296;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0008;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 326;778865;JTGRB71JXE7017357;C-0010089;2014;187,901,800;Regular;19/1/2015
297;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0007;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 366;778872;JTGRB71J1E7017358;C-0010117;2014;187,901,800;Regular;19/1/2015
298;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0006;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 314;779169;JTGRB71JXE7017410;C-0010094;2014;187,901,800;Inutilizado;19/1/2015
299;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0005;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 323;779183;JTGRB71J1E7017411;C-0010116;2014;187,901,800;Regular;19/1/2015
300;SERVICIOS DE EMERGENCIA EXTRA HOSPITALARIA (SEME);011-310-06-0002;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 312;779560;JTGRB71J3E7017491;C-0010139;2014;187,901,800;Bueno;19/1/2015
301;HOSPITAL GENERAL MATERNO INFANTIL SAN PABLO;011-03-24-0374;AMBULANCIA;NISSAN;CJLGE24D;EAD 765;TD25-193695;CJGE24-003026;C-0001526;1994;60,000,000;Inutilizado;10/5/1997
302;HOSPITAL DISTRITAL DE CAPIATA;12008-137-145-1028;AMBULANCIA;HYUNDAI;GRAND STAREX/2012;AANG 186;***;KMJWS37JBCU407231;C-0012872;2012;182,000,000;Bueno;3/11/2023
303;HOSPITAL DISTRITAL DE LAMBARE;011-03-27-0191;AMBULANCIA;RENAULT;KANGO;EAH 307;K9KV714D266975;8A1FC1E15CL288310;C-0008835;2012;122,852,600;Regular;11/10/2012
304;HOSPITAL MAT. INF. MARIANO ROQUE ALONSO;011-03-27-0129;AMBULANCIA;RENAULT;KANGO;EAH 128;K9KV714D266161;8A1FC1E15CL288959;C-0008571;2012;122,852,600;Regular;28/9/2012
305;CENTRO NACIONAL DE QUEMADURAS Y CIRUGIAS RECONSTRUCTIVAS (CENQUER);011-03-27-0192;AMBULANCIA;RENAULT;KANGOO EXPRESS CONFORT/2012;EAH 311;K9KV714D266925;8A1FC1E15CL289064;C-0008544;2012;122,852,600;Regular;11/10/2012
306;HOSPITAL DISTRITAL DE AREGUA;12008-141-06-1002;AMBULANCIA;HYUNDAI;GRAND STAREX/2015;AASH660;***;KMJWS37KBFU763411;***;2015;220,000,000;Muy Bueno;9/6/2025
307;"HOSPITAL GENERAL PEDIATRICO ""NIÑOS DE ACOSTA ÑU""";12008-453-01-0118;AMBULANCIA;TOYOTA;LAND CRUISER;AALF 405;985679;JTERB71JX0F014580;C-0012209;2021;337,829,840;Bueno;15/3/2022
308;HOSPITAL DISTRITAL DE LIMPIO;011-177-03-0303;AMBULANCIA;VOLKSWAGEN;CARAVELLE;EAF 496;***;VW1ZZZ2DZ1H020345;C-0008812;1990;50,000,000;Inutilizado;6/7/2009
309;HOSPITAL DISTRITAL DE LIMPIO;011-310-06-0280;AMBULANCIA;TOYOTA;LAND CRUISER/H T 4X4;EAJ 858;1HZ0856565;JTERB71J400085549;C-0010241;2017;254,321,000;Muy Bueno;14/2/2017
310;HOSPITAL DISTRITAL DE LIMPIO;011-344-01-0020;AMBULANCIA;HYUNDAI;H1;***;G4KGAA491026;KMJWA37RABU281003;***;2010;98,443,092;Inutilizado;18/10/2010
311;HOSPITAL GENERAL BARRIO OBRERO;011-03-24-0651;AMBULANCIA;MERCEDES BENZ;SPRINTER 308 CDI/F 3000;EAD 176;6.11988E+13;8AC9036615A924768;C-0005024;2005;154,500,000;Muy Bueno;9/12/2005
312;INSTITUTO MEDICINA TROPICAL;011-296-55-0005;AMBULANCIA;MERCEDES BENZ;SPRINTER 308;OAU 398;6.11988E+13;8AC9036619E018109;***;2009;225,000,000;Regular;19/5/2009
313;Centro de Salud Nueva Germania (2° R.S. San Pedro);011-03-27-0695;AMBULANCIA;RENAULT;KANGO;EAH 291;K9KV714D266814;8A1FC1E15CL289757;***;2012;122,852,600;Inutilizado;23/10/2012
314;Centro de Salud Nueva Germania (2° R.S. San Pedro);12008-01-60-0057;AMBULANCIA;ISUZU;TFS4XJSLCMBDQLA010;AAMZ 917;XK3760;MPATFS40JPT000626;***;2023;547,219,000;Bueno;14/12/2022
315;Centro de Salud Nueva Germania (2° R.S. San Pedro);011-310-06-0035;AMBULANCIA;TOYOTA;LAND CRUISER;EAJ 281;7899056;JTGRB71J1E7018543;C-0010095;2014;187,901,800;Bueno;19/1/2015
316;HOSPITAL DISTRITAL NUESTRA SEÑORA DE LOURDES ÑEMBY;12008-453-01-0128;AMBULANCIA;TOYOTA;LAND CRUISER;AALD 357;1HZ0991435;JTERB71J80F015873;C-0012255;2022;295,319,960;Bueno;9/6/2022
317;HOSPITAL DISTRITAL SANTA RITA (10ª R.S.ALTO PARANA);011-03-27-0416;AMBULANCIA;RENAULT;KANGO;EAH 075;K9KV714D266162;8A1FC1E15CL288752;***;2012;122,852,600;Regular;19/10/2012
318;CENTRO DE SALUD SANTA ROSA DEL MONDAY (10ª R.S. ALTO PARANA);011-03-24-0404;AMBULANCIA;TOYOTA;HZJ75LV-MR;EAC 769;1HZ-0125547;HZJ75-0020980;C-0002102;1995;80,000,000;Regular;13/11/2008
319;CENTRO DE SALUD NARANJAL (10ª R.S. ALTO PARANA);011-03-27-0417;AMBULANCIA;RENAULT;KANGO;EAH 112;K9KV714D266154;8A1FC1E15CL240297;C-0008894;2012;122,852,600;Regular;19/10/2012
320;HOSPITAL DISTRITAL DE PTE.FRANCO ( 10° R.S. ALTO PARANA);011-252-24-0016;AMBULANCIA;KIA;BONGO;***;J3-4027227;KRFEABE3A4B001019;***;2004;25,000,000;Inutilizado;2/5/2014
321;CENTRO DE SALUD SAN JOSE DE LOS ARROYOS (5°R.S. CAAGUAZU);12008-12-20-0082;AMBULANCIA;HYUNDAI;GRAND STAREX;AASL 569;***;KMJWSH7JP8U064691;C-0013110;2008;65,000,000;Bueno;10/11/2021
322;HOSPITAL DISTRITAL DE NATALIO (7ª ITAPUA);011-03-24-0648;AMBULANCIA;MERCEDES BENZ;SPRINTER 313 CDI/F 3000;EAD 193;6.11982E+13;8AC9036615A931350;***;2005;154,500,000;Malo;9/12/2005
323;HOSPITAL DISTRITAL DE NATALIO (7ª ITAPUA);011-03-24-0647;AMBULANCIA;MERCEDES BENZ;SPRINTER 308 CDI/F 3000;EAD 192;6.11988E+13;8AC9036615A920343;C-0005241;2005;154,500,000;Inutilizado;9/12/2005
324;HOSPITAL DISTRITAL DE NATALIO (7ª ITAPUA);011-03-24-0461;AMBULANCIA;KORANDO;SSANGYONG;EAF 780;1.00401E+14;HPKHB6DY1PP061173;C-0003828;1993;35,000,000;Inutilizado;31/5/1997
325;HOSPITAL DISTRITAL DE NATALIO (7ª ITAPUA);12008-453-01-0129;AMBULANCIA;TOYOTA;LAND CRUISER;AALD 350;1HZ0991448;JTERB71J10F015875;C-0012247;2022;295,319,960;Muy Bueno;9/6/2022
326;HOSPITAL DISTRITAL DE VILLETA;12008-11-56-0439;AMBULANCIA;FREIGHTLINER;SPRINTER VAN 2500;EAK 100;***;WD2PD644545703569;***;2004;156,000,000;Muy Bueno;24/7/2018
327;HOSPITAL DISTRITAL DE VILLETA;011-03-27-0126;AMBULANCIA;RENAULT;KANGO;BKN 752;K9KV714D266959;8A1FC1E15CL289696;C-0008814;2012;122,852,600;Regular;28/9/2012
328;12ª REGION SANITARIA - ÑEEMBUCU;011-33-01-0014;AMBULANCIA;TOYOTA;LAND CRUISER;***;1HZ-0126245;HZJ75-0021138;C-0003479;1995;85,000,000;Inutilizado;14/11/2008
329;12ª REGION SANITARIA - ÑEEMBUCU;011-34-18-0002;AMBULANCIA;NISSAN;CARAVAN;***;VGA30 (E) 2960 REAR01A CA M43;AEGE24-011850 55ZAEBE24HA;***;1997;70,174,943;Inutilizado;23/3/2010
330;HOSPITAL DISTRITAL DE ITAUGUA;011-155-34-0006;AMBULANCIA;HYUNDAI;STAREX;BHJ 281;D4BH5211597;KMJWSH7HP6U707951;***;2006;77,330,000;Bueno;30/7/2015
331;Hospital Regional de Concepción (1ª R.S.);011-03-27-0128;AMBULANCIA;RENAULT;KANGO;EAH 085;K9KV714D266166;8A1FC1E15CL288987;C-0010502;2012;122,852,600;Inutilizado;28/9/2012
332;USF SARGENTO JOSE FELIX LOPEZ (1ª CONCEPCION);12008-453-01-0109;AMBULANCIA;TOYOTA;LAND CRUISER;AALF 270;985467;JTERB71J10F014533;C-0012224;2021;337,829,840;Bueno;15/3/2022
333;Centro de Salud de Yby-Yau (1ª CONCEPCION);12008-44-31-1856;AMBULANCIA;HYUNDAI;GRAND STAREX;AAGX411;***;KMJWSH7JP9U098014;***;2009;150,000,000;Bueno;11/4/2022
334;Centro de Salud Vallemi (1ª Region Sanitaria);011-03-27-0857;AMBULANCIA;ISUZU;TFS54HSPLMEG-05A013;EAH 444;252570;MPATFS54HDT100919;C-0010503;2013;351,310,180;Regular;5/3/2013
335;P.S. SAN CARLOS DEL APA (1ª R.S.CONCEPCION);12008-453-01-0163;AMBULANCIA;TOYOTA;LAND CRUISER;AALD 351;1HZ0991792;JTERB71J00F015933;C-0012246;2022;295,319,960;Bueno;9/6/2022
336;HOSPITAL REGIONAL DE CAACUPE (3ª R.S. CORDILLERA);12008-453-01-0125;AMBULANCIA;TOYOTA;LAND CRUISER;AALF 988;985808;JTERB71J60F014608;C-0012225;2021;337,829,840;Muy Bueno;15/3/2022
337;Hospital Distrital de Altos (3ª R.S. Cordillera);12008-211-50-0041;AMBULANCIA;HYUNDAI;GRAND STAREX/2011;AAGT 323;***;KMJWS37JBBU348101;C-0011784;2011;150,000,000;Bueno;11/10/2021
338;Centro de Salud de Arroyos y Esteros (3ª R.S. Cordillera);011-203-189-0198;AMBULANCIA;TOYOTA;LAND CRUISER;EAC 709;1HZ-0125863;HZJ75-0021064;C-0005186;1995;80,000,000;Regular;31/5/1997
339;Centro de Salud de Arroyos y Esteros (3ª R.S. Cordillera);12008-453-01-0130;AMBULANCIA;TOYOTA;LAND CRUISER;AALD 362;1HZ0991458;JTERB71J30F015876;C-0012254;2022;295,319,960;Muy Bueno;9/6/2022
340;Centro de Salud de Atyra (3° R. S. Cordillera);011-03-27-0124;AMBULANCIA;RENAULT;KANGO;EAH 159;K9KV714D266921;8A1FC1E15CL288980;C-0008951;2012;122,852,600;Malo;28/9/2012
341;Centro de Salud de Caraguatay (3° R.S. Cordillera);12008-202-50-0166;AMBULANCIA;IVECO;DAILY 55C17 GRAN FURGONE/2018;AAJL 369;***;93ZK53C01J8478882;***;2018;450,000,000;Bueno;7/8/2024
342;Centro de Salud de Emboscada (3° R.S. Cordillera);011-310-06-0706;AMBULANCIA;FORD;RANGER CS;EAF 786;L1A001060;8AFER11P7BJ361681;***;2011;377,791,034;Bueno;24/3/2011
343;Centro de Salud de Emboscada (3° R.S. Cordillera);011-03-24-0656;AMBULANCIA;MERCEDES BENZ;SPRINTER 308 CDI/F 3000;EAD 162;6.11988E+12;8AC9036616A933387;C-0005238;2005;154,499,999;Muy Bueno;9/12/2005
344;Centro de Salud de Emboscada (3° R.S. Cordillera);011-319-100-0002;AMBULANCIA;HYUNDAI;STAREX;BPX 205;***;KMCWAH7HP2U444093;C-0012882;2002;65,000,000;Bueno;3/3/2017
345;Hospital Distrital de Eusebio Ayala (3° R.S. Cordillera);12008-203-50-0274;AMBULANCIA;HYUNDAI;GRAND STAREX/2011;AAPO 572;***;KMJWS37JABU261840;***;2011;123,000,000;Bueno;2/11/2021
